"region","freq_band","els_effect","els_cgrp_intn_effect"
"Acc",1,-0.00728190132224012,-0.00880651155724449
"LPBN",1,-0.0134180684339668,-0.00573166767204806
"MD_thal",1,-0.0217543014225579,-0.00739442098732081
"Po",1,-0.0166021361005266,-0.0125293521288617
"RPBN",1,-0.0149524257831864,-0.00861191196075272
"VPM",1,-0.0166891997129608,-0.0241193632035423
"Acc",2,-0.028297112714642,-0.00601768767620501
"LPBN",2,-0.0181664882772256,0.00782175497845624
"MD_thal",2,-0.0225036298001489,-0.0126463259653499
"Po",2,-0.0265359042616104,-0.0189839050727952
"RPBN",2,-0.0194817752478181,-0.00122447237169775
"VPM",2,-0.0225527492597968,-0.0220949276526857
"Acc",3,-0.0192905935464396,-0.00721430511461662
"LPBN",3,-0.0161281475571782,0.00201130249721045
"MD_thal",3,-0.0221824890668975,-0.0103955095461947
"Po",3,-0.0222785750497167,-0.0162176628040663
"RPBN",3,-0.0175444589185183,-0.00438668446860248
"VPM",3,-0.0200397993714008,-0.0229625428887676
"Acc",4,-0.0344160326139119,-0.0152864167078613
"LPBN",4,-0.0322364114460398,-0.00289330625541899
"MD_thal",4,-0.0463231885974762,-0.00830455884408794
"Po",4,-0.0485939653346513,-0.0187124709145588
"RPBN",4,-0.0299383780599569,-0.00603472262957187
"VPM",4,-0.0269869798822889,-0.0336103317337395
"AMY",1,-0.0156129021263008,0.000896952838875219
"AMY",2,-0.0238598910411259,-0.00440240145842473
"AMY",3,-0.0203236882601646,-0.00213302857745311
"AMY",4,-0.0310054546777302,-0.0201316061987469
